Timestamp,Industry,Employees_size  , IT_size,team_size,LifeCycle_Software,Software_System,Software_system_architecture,Deployable_Components, Runtime_component_instances,Component_Communication_Styles ,Deployed_on,Computing_Model_Layers ,Release_automation_rate,upgrades_release rate,System_load_ user_requests,observability_rate,problem_discover  ,Incident_first_check_metrics, Most_common_incident ,Incidents_require_manual_ intervention,managed_incidents,Incidents_number_history,unavailability_time,Incident_diagnose_time,Deployment_techniques,third_party_tools ,new_component_in production,monitoring_information_access,alert_receiver,receive_alerts_employees,alert_rate, alert_percentage,maximum_granularity , retention _policy,reliability_availability,maturity level_improvement,adoption_main_obstacles,survey_useful,additional_comments,
7-25-2016 15:41:09,Health Care,6 - 20,1 - 5,1 - 5,"Requirement Engineering, Design, Middleware and supporting services, Management and improvement of development/operation process",IoT application,"Client-server, Service-oriented architecture (SOA), Microservices, Event-driven",11 - 20,21 - 50,"Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Hybrid hosting,"Bare metal, Virtual machines (IaaS), Platform (PaaS), Linux Containers (e.g.: Docker)",5,At least 1 release per month,11 - 100,3,Manually,"Availability, Memory activity (RAM), CPU activity, Disk activity, Network activity, Requests/response throughput, Requests/response latency, JVM metrics, Database related metrics, Error rates",Buggy release of core components,"Damaged hardware, Buggy release of core components, Disk is full, Incidents on third party service (e.g.: Cloud provider outage)","CPU saturation, Memory saturation, Network saturation",None,No availability issues in the last year,3 - 6 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Custom dashboards internally developed","Apache Kafka, Elasticsearch, Kibana, LogStash, MySQL, RabbitMQ",It is released with no monitoring or relying on the existing monitoring configuration,"Developers, Operators","Developers, Operators, Business",2 - 5,At least 1 per year,1 - 5%,2 to 10 seconds,Monitoring data is aggregated at different granularities based on its aging,"All or some of the monitoring components are monitored as well as core system components, Multiple, overlapping (or partially overlapping), monitoring solutions are used",We are always improving it,"There are too many tools, Lack of standardization, Tools are hard to use and configure, Applications are hard to instrument",Yes,,
7-25-2016 16:14:13,Technology,"501 - 2,000",101 - 500,6 - 20,System administration and operation management,Entertainment,Service-oriented architecture (SOA),> 100,"2,001 - 10,000",Request/response synchronous communication,Private hosting,Virtual machines (IaaS),4,More than 10 releases per day,"1,001 - 10,000",4,Manually,"CPU activity, Network activity, Requests/response throughput, Requests/response latency, JVM metrics, Database related metrics, Error rates",Unexpected race conditions,"Damaged hardware, Buggy release of core components, Upgrade to a buggy third party service, Wrong configuration update, Memory saturation, Network saturation, Incidents on third party service (e.g.: Cloud provider outage), Unexpected race conditions","CPU saturation, Disk is full",6 - 20,Less than 12 hours,Less than 5 minutes,"Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Custom dashboards internally developed, Dashboards provided by third party monitoring tools","Grafana, Graphite, Kibana, LogStash, Zenoss",Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,Operators,Operators,21 - 100,More than 100 per day,6 - 20%,One second,Monitoring data is aggregated at different granularities based on its aging,All or some of the monitoring components are monitored as well as core system components,We are always improving it,"Lack of automation, Tools are hard to use and configure, We don’t value monitoring as a strategic investment",No,,
7-25-2016 21:09:17,Technology,21 - 100,21 - 100,6 - 20,System administration and operation management,Product engineering software,Monolithic architecture,1 - 3,1 - 5,One-way (no response expected) request communication,Private hosting,Bare metal,3,At least 1 release per month,1 - 10,2,Manually,"Memory activity (RAM), CPU activity, Database related metrics",CPU saturation,CPU saturation,Buggy release of core components,1 - 5,More than 12 hours,More than 6 hours,Custom dashboards internally developed,Google Analytics,Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,Developers,Developers,6 - 20,1 - 20 per day,6 - 20%,Over 1 minute,Monitoring data is stored as raw data forever,Monitoring components are replicated or distributed on different hosting solutions,"Yes, we plan to improve it in the next future","Lack of standardization, Current tools are not informative enough",Yes,,
7-25-2016 21:29:20,Technology,21 - 100,21 - 100,1 - 5,"Development, Management and improvement of development/operation process",Product engineering software,Client-server,4 - 10,6 - 20,"One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication",Private hosting,Third party services (SaaS),4,1 to 10 releases per day,1 - 10,3,Manually,Availability,Buggy release of core components,"Buggy release of core components, Wrong configuration update",,6 - 20,Less than 20 minutes,Less than 5 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)",AWS CloudWatch,It is released with no monitoring or relying on the existing monitoring configuration,"Developers, Operators","Developers, Operators",2 - 5,At least 1 per week,More than 50%,Over 1 minute,Monitoring data is aggregated at different granularities based on its aging,,We are always improving it,"There are too many tools, Tools are hard to use and configure, We don’t value monitoring as a strategic investment",Partially,,
7-26-2016 8:56:28,Technology,6 - 20,6 - 20,1 - 5,Development,Big data application,Client-server,4 - 10,6 - 20,"Request/response synchronous communication, One-way (no response expected) request communication",Private hosting,"Virtual machines (IaaS), Third party services (SaaS), Serverless (FaaS) (e.g.: AWS Lambda)",3,At least 1 release per month,"> 10,000",3,Automatically,"Memory activity (RAM), CPU activity, Disk activity, Database related metrics",Buggy release of core components,"Buggy release of core components, Memory saturation","CPU saturation, Network saturation",1 - 5,Less than 20 minutes,21 - 60 minutes,"Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)","AWS CloudWatch, Icinga, Pingdom",It is released with no monitoring or relying on the existing monitoring configuration,"Developers, Business","Developers, Business",2 - 5,1 - 20 per day,6 - 20%,2 to 10 seconds,Monitoring data is not stored,All or some of the monitoring components are monitored as well as core system components,We are always improving it,"Lack of automation, Tools are hard to use and configure",No,,
7-28-2016 8:00:17,Consumer Goods,"10,001 - 100,000",21 - 100,1 - 5,Management and improvement of development/operation process,Media development software,Service-oriented architecture (SOA),4 - 10,101 - 500,"Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Hybrid hosting,"Virtual machines (IaaS), Platform (PaaS), Third party services (SaaS)",4,At least 1 release per month,"101 - 1,000",3,Manually,"Availability, Network activity, Requests/response latency, JVM metrics, Database related metrics, Error rates",Upgrade to a buggy third party service,"Upgrade to a buggy third party service, Wrong configuration update, Incidents on third party service (e.g.: Cloud provider outage)","Damaged hardware, CPU saturation, Memory saturation, Network saturation, Disk is full, Incidents on third party service (e.g.: Cloud provider outage)",1 - 5,Less than 1 hour,21 - 60 minutes,"Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Dashboards provided by third party monitoring tools","Azure Application Insight, Google Analytics, Google Cloud Monitoring",Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,Operators,Operators,2 - 5,At least 1 per week,More than 50%,Over 1 minute,Monitoring data is not stored,"All or some of the monitoring components are monitored as well as core system components, Monitoring components are replicated or distributed on different hosting solutions",We are always improving it,We don’t value monitoring as a strategic investment,No,,
8-3-2016 14:21:45,Technology,21 - 100,1 - 5,1 - 5,Development,"Enterprise Software (e.g.: CRM, supply chain management)",Client-server,1 - 3,1 - 5,Request/response synchronous communication,Private hosting,"Bare metal, Virtual machines (IaaS), Platform (PaaS), Third party services (SaaS)",5,At least 1 release per month,11 - 100,5,Automatically,"Availability, Network activity, Error rates",Memory saturation,Damaged hardware,"CPU saturation, Memory saturation, Network saturation, Disk is full, Incidents on third party service (e.g.: Cloud provider outage)",6 - 20,Less than 20 minutes,Less than 5 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Custom dashboards internally developed, Dashboards provided by third party monitoring tools",NetCrunch,It is released with no monitoring or relying on the existing monitoring configuration,Operators,Operators,2 - 5,1 - 20 per day,1 - 5%,11 to 60 seconds,Monitoring data is stored as raw data forever,All or some of the monitoring components are monitored as well as core system components,There’s no need to improve it,"There are too many tools, Tools are hard to use and configure, We don’t value monitoring as a strategic investment",Yes,,
8-3-2016 15:49:33,Technology,6 - 20,1 - 5,1 - 5,System administration and operation management,"Enterprise Software (e.g.: CRM, supply chain management)",Client-server,1 - 3,1 - 5,Request/response asynchronous  (response expected but non-blocking) communication,Private hosting,Virtual machines (IaaS),4,1 to 10 releases per day,"101 - 1,000",2,Automatically,"Availability, Error rates",Incidents on third party service (e.g.: Cloud provider outage),"Upgrade to a buggy third party service, Memory saturation",Wrong configuration update,21 - 100,Less than 20 minutes,6 - 20 minutes,"Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Custom dashboards internally developed, Dashboards provided by third party monitoring tools","Grafana, NetCrunch",Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,Operators,Operators,2 - 5,1 - 20 per day,21 - 50%,11 to 60 seconds,Monitoring data is stored as raw data forever,All or some of the monitoring components are monitored as well as core system components,We are always improving it,Lack of standardization,Partially,,
8-3-2016 18:57:27,Financials,"> 100,000",6 - 20,,"System administration and operation management, Management and improvement of development/operation process","Enterprise Infrastructure Software (e.g.: Mail, DBs)",Client-server,11 - 20,51 - 100,"Request/response synchronous communication, Request/response asynchronous  (response expected but non-blocking) communication",Private hosting,Linux Containers (e.g.: Docker),4,At least 1 release per week,11 - 100,4,Automatically,"CPU activity, Disk activity, Database related metrics",Disk is full,"CPU saturation, Disk is full, Incidents on third party service (e.g.: Cloud provider outage)","CPU saturation, Memory saturation",6 - 20,,21 - 60 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts)",MySQL,QoS metrics and checks relative to the new functionality are deployed together with the new release,Operators,Operators,6 - 20,1 - 20 per day,6 - 20%,11 to 60 seconds,Monitoring data is aggregated at different granularities based on its aging,"Reliability and availability of monitoring components are guaranteed by third party providers SLA, Multiple, overlapping (or partially overlapping), monitoring solutions are used",We are always improving it,"Lack of standardization, Current tools are not informative enough",No,,
8-3-2016 19:00:06,Technology,21 - 100,6 - 20,1 - 5,"Development, Management and improvement of development/operation process",Content access software,"Client-server, Service-oriented architecture (SOA), Microservices",4 - 10,6 - 20,"Request/response synchronous communication, Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Private hosting,"Bare metal, Linux Containers (e.g.: Docker), Serverless (FaaS) (e.g.: AWS Lambda)",4,1 to 10 releases per day,"101 - 1,000",4,Automatically,"Requests/response throughput, Requests/response latency, Database related metrics",Service Shortage,"Upgrade to a buggy third party service, Wrong configuration update","Buggy release of core components, CPU saturation, Memory saturation",1 - 5,Less than 1 hour,6 - 20 minutes,"Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Custom dashboards internally developed","Google Analytics, LogStash, NewRelic",QoS metrics and checks relative to the new functionality are deployed together with the new release,Developers,Developers,6 - 20,1 - 20 per day,More than 50%,11 to 60 seconds,Monitoring data is aggregated at different granularities based on its aging,Reliability and availability of monitoring components are guaranteed by third party providers SLA,We are always improving it,"There are too many tools, Lack of automation, Lack of standardization, Tools are hard to use and configure",Yes,,
